Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PTS_avg_3,PTS_avg_5,FG_PCT_avg_3,FG_PCT_avg_5,AST_avg_3,AST_avg_5,TOV_avg_3,TOV_avg_5,is_home,opponent_abbr
1610612743,22300061,2023-10-24,DEN vs. LAL,W,1,0,1.0,240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,,,,,,,,,1,LAL
1610612743,22300078,2023-10-27,DEN @ MEM,W,2,0,1.0,240,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,17,18,108,119.0,119.0,0.527,0.527,29.0,29.0,11.0,11.0,0,MEM
1610612743,22300095,2023-10-29,DEN @ OKC,W,3,0,1.0,240,53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,113.5,113.5,0.4965,0.4965,28.0,28.0,14.0,14.0,0,OKC
1610612743,22300110,2023-10-30,DEN vs. UTA,W,4,0,1.0,240,47,84,0.56,9,28,0.321,7,17,0.412,7,36,43,32,4,8,12,14,110,118.33333333333331,118.33333333333331,0.5316666666666666,0.5316666666666666,30.0,30.0,13.666666666666666,13.666666666666666,1,UTA
1610612743,22300123,2023-11-01,DEN @ MIN,L,4,1,0.8,240,38,96,0.396,6,33,0.182,7,10,0.7,12,31,43,23,6,10,15,22,89,115.33333333333331,116.25,0.5426666666666667,0.5387500000000001,31.0,30.5,14.0,13.25,0,MIN
1610612743,22300006,2023-11-03,DEN vs. DAL,W,5,1,0.833,240,49,93,0.527,13,30,0.433,14,19,0.737,19,32,51,33,11,6,17,17,125,109.0,110.8,0.5193333333333333,0.5102,29.666666666666668,29.0,13.333333333333334,13.6,1,DAL
1610612743,22300139,2023-11-04,DEN vs. CHI,W,6,1,0.857,240,42,81,0.519,16,36,0.444,23,30,0.767,10,39,49,31,10,4,11,18,123,108.0,112.0,0.4943333333333333,0.5102,29.33333333333333,29.8,14.666666666666666,14.8,1,CHI
1610612743,22300156,2023-11-06,DEN vs. NOP,W,7,1,0.875,240,51,95,0.537,15,39,0.385,17,23,0.739,11,34,45,37,6,5,9,16,134,112.33333333333331,115.0,0.4806666666666667,0.5208,29.0,30.6,14.333333333333334,13.6,1,NOP
1610612743,22300169,2023-11-08,DEN vs. GSW,W,8,1,0.889,240,41,92,0.446,11,35,0.314,15,22,0.682,10,35,45,24,7,4,6,20,108,127.33333333333331,116.2,0.5276666666666667,0.5077999999999999,33.666666666666664,31.2,12.333333333333334,12.8,1,GSW
1610612743,22300182,2023-11-12,DEN @ HOU,L,8,2,0.8,240,42,91,0.462,9,32,0.281,11,14,0.786,12,37,49,24,3,5,11,20,104,121.66666666666669,115.8,0.5006666666666667,0.485,30.666666666666668,29.6,8.666666666666666,11.6,0,HOU
